2019-06-07 22:50:50,932 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@50cccb3e] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2019-06-07 22:50:51,025 INFO  - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2019-06-07 22:50:51,096 INFO  - HHH10001008: Cleaning up connection pool [jdbc:h2:mem:football_league_repository;INIT=CREATE SCHEMA IF NOT EXISTS football_league_storage]
2019-06-07 22:50:51,169 WARN  - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2019-06-07 22:50:51,170 INFO  - HHH10001005: using driver [org.h2.Driver] at URL [jdbc:h2:mem:football_league_repository;INIT=CREATE SCHEMA IF NOT EXISTS football_league_storage]
2019-06-07 22:50:51,171 INFO  - HHH10001001: Connection properties: {password=****, user=sa}
2019-06-07 22:50:51,171 INFO  - HHH10001003: Autocommit mode: false
2019-06-07 22:50:51,172 INFO  - HHH000115: Hibernate connection pool size: 20 (min=1)
2019-06-07 22:50:51,177 INFO  - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2019-06-07 22:50:51,470 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@d36af0c] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2019-06-07 22:50:51,474 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@6de1fce] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2019-06-07 22:50:51,535 INFO  - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2019-06-07 22:50:51,587 INFO  - HHH10001008: Cleaning up connection pool [jdbc:h2:mem:football_league_repository;INIT=CREATE SCHEMA IF NOT EXISTS football_league_storage]
2019-06-07 22:50:51,640 WARN  - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
